timestamp,X,CS,U
2730.0,"[51.27716113182808, 4.221557538641885, -125.18516431993206, 0.2649096606515618, -0.12141203705180577, 0.3594078188249217]","[-119.8796096562157, 0.29140695092532487]","[0.43777566734526674, 0.4496806915025839, 0.5, 0.999999995121461, 0.5499999951196405, 0.999999995106632, 0.45000000489073316]"
2735.0,"[51.277149492873214, 4.221546298219347, -123.87743887740923, 0.2843158673824537, -0.14539489467209335, 0.10914192583112452]","[-119.4122805621961, 0.31933554115091245]","[0.4391553187658504, 0.4498325909464952, 0.5, 0.999999995120013, 1.0000000048799866, 0.9999999951053595, -4.894640248664928e-09]"
2740.0,"[51.27713627014183, 4.221534933980047, -123.9575681174716, 0.3029549951291369, -0.17913978655417007, -0.15447646572712714]","[-115.79133135739472, 0.3519556679474973]","[0.4463769383185499, 0.4506276903301316, 0.5, 0.9999999951203229, 1.0000000048796769, 0.9999999951056318, -4.894368006118961e-09]"
2745.0,"[51.277121339539804, 4.221523922879734, -125.19229792768115, 0.32165904362674286, -0.2073490616885395, -0.34904512018908923]","[-112.33736450339724, 0.382698541583305]","[0.45622903336279524, 0.45171240472695223, 0.5, 0.9999999951170712, 1.0000000048829283, 0.9999999951069241, -4.893075627216653e-09]"
2750.0,"[51.277104768883255, 4.221513568556579, -127.27693438444251, 0.3408214873148769, -0.23121839404556957, -0.48806373228580957]","[-108.92164542775124, 0.4118509827116321]","[0.4681294669523407, 0.4530226409340773, 0.5, 0.9466666617837378, 0.9500000048829285, 0.949999995106924, -4.1126958981253995e-09]"
2755.0,"[51.27708667601152, 4.221504080762495, -129.69864029610181, 0.3607210085199705, -0.2446915811336301, -0.450019275618076]","[-106.3376704096931, 0.4358825711878608]","[0.47955151265567597, 0.45428020669648195, 0.5, 0.8534736994996823, 0.4500000048829283, 0.5499999951069237, 0.04999999588730415]"
2760.0,"[51.27706711992949, 4.221495503266036, -131.65194148569444, 0.3813130752545617, -0.2772097665477921, -0.29497434625314806]","[-102.58354055675998, 0.47142859059413483]","[0.4920797663317468, 0.4556595658143684, 0.5, 0.9999999951293861, -4.870613594982437e-09, 0.9999999951135965, 0.5499999958873043]"
2765.0,"[51.277046304430556, 4.221487321393637, -132.6009809863229, 0.40257234983652784, -0.25200215340274906, -0.05276134291783726]","[-104.67551442063859, 0.4749416618623033]","[0.49359695291567096, 0.4558266078620628, 0.5, 0.9999999951321945, -4.867805047936713e-09, 0.9999999951160651, 1.0000000048839341]"
2770.0,"[51.27702636200766, 4.221476090656633, -132.35309643322168, 0.42272742894260273, -0.19926169796488194, 0.16021383163740724]","[-111.73022765808687, 0.4673368201375439]","[0.48455146037325086, 0.4548307002969049, 0.5, 0.9999999951325347, 0.049999995132194996, 0.9999999951163645, 0.9500000048839342]"
2775.0,"[51.27700736257539, 4.221461508136079, -131.4040343899221, 0.440354215146344, -0.176424359716224, 0.18160849413043992]","[-116.54121664059738, 0.4743810593799379]","[0.4763056326205895, 0.4539228357222196, 0.5, 0.999999995130507, 0.5499999951321951, 0.9999999951145823, 0.450000004883934]"
2780.0,"[51.27698820488796, 4.221445310841821, -130.84222964621875, 0.45584669069481787, -0.19083830540964425, -0.0021936005028768157]","[-116.64552100463786, 0.4941816105735235]","[0.47479769784110115, 0.45375681229700665, 0.5, 0.9999999951286581, 1.0000000048713413, 0.9999999951129573, -4.887042358094261e-09]"
2785.0,"[51.276967887045, 4.221429236347663, -131.33601087124347, 0.4703506005774201, -0.21443566300162156, -0.2055423233487508]","[-114.39997099666685, 0.5169258564151002]","[0.4792278467677083, 0.454244571123857, 0.5, 0.9999999951283199, 1.0000000048716795, 0.9999999951126601, -4.887339580658282e-09]"
2790.0,"[51.2769462496115, 4.2214139201961425, -132.7201349594106, 0.48477442706649204, -0.2339086500882269, -0.3555043228933021]","[-111.7951377284468, 0.5382559815958781]","[0.48652578464652985, 0.4550480731453842, 0.5, 0.9999999951293133, 1.000000004870686, 0.9999999951135332, -4.8864664695510595e-09]"
2795.0,"[51.276923301679545, 4.2213997344187275, -134.75897212128362, 0.499558566437457, -0.250172197020408, -0.4621614772467602]","[-108.94390092159382, 0.5586992835712831]","[0.49574244951199625, 0.4560628267612851, 0.499999999997425, 0.9466666617959799, 0.9500000048706861, 0.9499999951135332, -4.691935490923933e-09]"
2800.0,"[51.276899061712, 4.2213869738477205, -137.0028167168496, 0.5149853916478864, -0.26391486897787214, -0.4105626116060054]","[-106.14303483717184, 0.5786717650605863]","[0.5051431386125845, 0.45709771875452454, 0.5193575564189706, 0.7309888784217998, 0.45000000487068603, 0.6713234455667442, 0.049999995308064475]"
2805.0,"[51.27687340795793, 4.2213759132348665, -138.7994422455529, 0.5311649865617163, -0.2934000969596799, -0.2716147846264525]","[-102.51005773827724, 0.6068112225767235]","[0.5153940328839703, 0.4582263288646625, 0.5210713477694873, 0.9999999951296041, -4.870395356856453e-09, 0.9999999951184564, 0.5499999953080646]"
2810.0,"[51.27684669059529, 4.221365683467199, -139.67374137567967, 0.5479597788296565, -0.2687542652414418, -0.049965715303225695]","[-103.72858671284887, 0.6103185842660481]","[0.5157608987484038, 0.4582667325482825, 0.5198270870697967, 0.999999995131791, -4.868208455402875e-09, 0.9999999951204651, 1.0000000048795346]"
2815.0,"[51.2768206163497, 4.221352663741723, -139.4619072841834, 0.5647222054694491, -0.2202559828256525, 0.14194021159192036]","[-108.74058646709149, 0.6061549862211584]","[0.5072238504880798, 0.45732683370463467, 0.5163735044696766, 0.9999999951318698, 0.049999995131791514, 0.9999999951205368, 0.9500000048795346]"
2820.0,"[51.27679527148336, 4.221336400378084, -138.6127624364575, 0.5791094073564066, -0.19785758396126915, 0.16493270234079468]","[-112.34043981596804, 0.6119765757115865]","[0.4990224876899243, 0.4564238783892067, 0.514754510988797, 0.9999999951300489, 0.5499999951317917, 0.9999999951188642, 0.4500000048795345]"
